CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
20615,43.63333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334,0.0,0.0,0.75,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333
20709,33.33125,0.0,0.0,0.045454545454545456,0.18181818181818182,0.2727272727272727,0.5,0.0,0.0,0.6363636363636364,0.045454545454545456,0.0,0.2727272727272727,0.045454545454545456,0.0
20756,26.983333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20812,32.56,0.05,0.0,0.0,0.0,0.1,0.85,0.0,0.0,0.75,0.0,0.1,0.05,0.0,0.1
20818,30.555,0.0,0.0,0.0,0.3,0.4,0.3,0.0,0.0,0.75,0.05,0.0,0.1,0.05,0.05
20833,36.58571428571429,0.06666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.0,0.8,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0
20891,48.275,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222,0.0
2090,38.710344827586205,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.8387096774193549,0.0,0.06451612903225806,0.8064516129032258,0.0,0.16129032258064516,0.0,0.03225806451612903,0.0
20933,36.98235294117647,0.0,0.1,0.0,0.25,0.35,0.25,0.05,0.0,0.7,0.0,0.0,0.2,0.05,0.05
20966,26.015384615384615,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.0,0.0,0.5714285714285714,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0
20985,42.71111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0
21017,37.6,0.0,0.0,0.06666666666666667,0.4,0.06666666666666667,0.4666666666666667,0.0,0.0,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0
